,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,city,state,sqft_free,$/ft2_living,$/ft,profit
96,87000006,2015-04-13,275000.0,4,1.75,1680,19405,1.0,0,0,4,7,1560,120,1959,0,98055,47.4552,-122.202,2000,12900,Renton,WA,17725,163.6904761904762,14.171605256377223,0
97,87000213,2014-06-13,129000.0,2,1.0,1150,30184,1.0,0,0,3,6,1150,0,1950,0,98055,47.4492,-122.2,1670,19684,Renton,WA,29034,112.17391304347827,4.273787437052743,0
98,87000245,2014-09-30,170000.0,3,0.75,1040,42180,1.0,0,0,2,6,1040,0,1947,0,98055,47.4518,-122.199,1270,24090,Renton,WA,41140,163.46153846153845,4.030346135609293,0
99,87000283,2014-11-18,359950.0,3,2.5,1980,7800,2.0,0,0,3,8,1980,0,1999,0,98055,47.4492,-122.199,1700,20580,Renton,WA,5820,181.7929292929293,46.1474358974359,0
100,88000173,2014-10-15,333000.0,4,2.0,2750,9001,1.0,0,0,3,8,2750,0,2008,0,98055,47.457,-122.189,1340,11050,Renton,WA,6251,121.0909090909091,36.995889345628264,0
101,88000591,2015-04-14,212000.0,3,1.0,1000,9450,1.0,0,0,3,6,1000,0,1962,0,98055,47.4562,-122.193,1300,13500,Renton,WA,8450,212.0,22.433862433862434,0
102,88000790,2014-07-14,252000.0,3,1.0,1170,9730,1.0,0,0,3,7,1170,0,1968,1986,98055,47.4562,-122.196,1680,10125,Renton,WA,8560,215.3846153846154,25.899280575539567,0
103,91000135,2015-05-07,750000.0,4,1.5,2060,4000,1.5,0,2,3,7,1580,480,1920,1990,98103,47.6857,-122.353,1160,4000,Seattle,WA,1940,364.07766990291265,187.5,0
104,91000320,2014-09-23,393000.0,2,1.0,980,3350,1.0,0,0,4,7,980,0,1925,0,98103,47.6858,-122.352,1260,4000,Seattle,WA,2370,401.0204081632653,117.31343283582089,0
105,97600140,2014-07-29,800000.0,4,2.5,2930,5000,2.0,0,0,3,9,2760,170,2007,0,98006,47.5424,-122.12,3230,5778,Bellevue,WA,2070,273.03754266211604,160.0,0
106,98000560,2014-08-16,959900.0,4,3.75,3550,15151,2.0,0,0,3,11,3550,0,2004,0,98075,47.5888,-121.971,4340,15151,Sammamish,WA,11601,270.3943661971831,63.35555408883902,0
107,98000740,2015-04-01,945000.0,5,3.5,4380,14925,2.0,0,0,3,11,4380,0,2003,0,98075,47.5848,-121.969,4310,14633,Sammamish,WA,10545,215.75342465753425,63.31658291457286,0
108,98000960,2014-05-13,1050000.0,4,3.25,4400,16625,2.0,0,0,3,11,4400,0,2003,0,98075,47.5868,-121.968,4440,15523,Sammamish,WA,12225,238.63636363636363,63.1578947368421,0
109,98001070,2014-08-18,1169000.0,5,4.25,4610,13252,2.0,0,4,3,11,4610,0,2004,0,98075,47.5878,-121.969,4400,15154,Sammamish,WA,8642,253.57917570498915,88.21309990944764,0
110,98020140,2014-07-08,765000.0,4,4.0,3010,7221,2.0,0,0,3,10,3010,0,2004,0,98075,47.5833,-121.97,3490,7518,Sammamish,WA,4211,254.15282392026577,105.941005400914,0
111,98020220,2014-10-30,750000.0,4,2.5,3210,8938,2.0,0,0,3,10,3210,0,2005,0,98075,47.582,-121.971,3740,8108,Sammamish,WA,5728,233.6448598130841,83.91138957261133,0
112,98020300,2015-02-03,759000.0,5,2.75,3490,8230,2.0,0,0,3,10,3490,0,2005,0,98075,47.5825,-121.97,3480,7331,Sammamish,WA,4740,217.4785100286533,92.2235722964763,0
113,98020310,2014-05-20,730000.0,4,2.5,3230,7331,2.0,0,0,3,10,3230,0,2004,0,98075,47.5823,-121.97,3480,7447,Sammamish,WA,4101,226.0061919504644,99.57713818033011,0
114,98020350,2015-01-23,720000.0,4,4.0,3200,7708,2.0,0,0,3,10,3200,0,2004,0,98075,47.5816,-121.97,3480,7944,Sammamish,WA,4508,225.0,93.4094447327452,0
115,98020410,2014-07-21,802500.0,4,3.75,3320,8030,2.0,0,0,3,10,3320,0,2005,0,98075,47.5818,-121.972,3740,8030,Sammamish,WA,4710,241.71686746987953,99.93773349937733,0
116,98020480,2014-08-28,885000.0,4,2.5,4090,11225,2.0,0,0,3,10,4090,0,2005,0,98075,47.581,-121.971,3510,8762,Sammamish,WA,7135,216.38141809290954,78.84187082405346,0
117,98020630,2015-04-14,889000.0,4,3.5,4070,10976,2.0,0,0,3,10,4070,0,2004,0,98075,47.5805,-121.97,4080,10106,Sammamish,WA,6906,218.42751842751844,80.99489795918367,0
118,98030140,2014-10-13,785500.0,4,4.0,3280,8448,2.0,0,0,3,10,3280,0,2007,0,98075,47.5818,-121.973,3730,8030,Sammamish,WA,5168,239.48170731707316,92.98058712121212,0
119,98030160,2015-02-12,797000.0,3,3.5,3500,9473,2.0,0,0,3,10,3500,0,2008,0,98075,47.5807,-121.972,3510,7833,Sammamish,WA,5973,227.71428571428572,84.13385411168585,0
120,98030400,2014-07-11,790000.0,4,3.5,3560,6098,2.0,0,0,3,10,3560,0,2006,0,98075,47.5828,-121.972,3660,6846,Sammamish,WA,2538,221.91011235955057,129.5506723515907,0
121,98030530,2014-06-10,745000.0,4,3.25,3490,7024,2.0,0,0,3,10,3490,0,2006,0,98075,47.5834,-121.972,3450,6866,Sammamish,WA,3534,213.46704871060172,106.06492027334852,0
122,98030630,2014-12-15,852500.0,5,3.75,3830,8131,2.0,0,0,3,10,3830,0,2005,0,98075,47.5837,-121.971,3570,7290,Sammamish,WA,4301,222.58485639686685,104.84565244127414,0
123,98030660,2015-03-11,815000.0,4,2.5,3880,7208,2.0,0,0,3,10,3880,0,2006,0,98075,47.5841,-121.971,3280,7221,Sammamish,WA,3328,210.05154639175257,113.06881243063263,0
124,100100050,2014-11-12,275000.0,3,1.0,1320,11090,1.0,0,0,3,7,1320,0,1955,0,98155,47.7748,-122.304,1320,8319,Seattle,WA,9770,208.33333333333334,24.79711451758341,0
125,100300280,2014-10-20,355000.0,3,2.25,1430,4777,2.0,0,0,3,7,1430,0,2010,0,98059,47.4867,-122.152,1639,3854,Renton,WA,3347,248.25174825174824,74.31442327820808,0
126,100300500,2014-11-21,333000.0,3,2.5,1520,3041,2.0,0,0,3,7,1520,0,2009,0,98059,47.4874,-122.152,1820,3229,Renton,WA,1521,219.07894736842104,109.50345281157514,0
127,100300530,2014-09-25,330000.0,3,2.5,1520,3003,2.0,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3030,Renton,WA,1483,217.10526315789474,109.89010989010988,0
128,100500020,2014-09-11,250000.0,3,2.5,1610,6600,2.0,0,0,3,7,1610,0,1994,0,98003,47.2827,-122.302,1660,7689,Federal Way,WA,4990,155.27950310559007,37.878787878787875,0
129,100600320,2014-08-13,213950.0,3,1.0,1430,7000,1.0,0,0,3,6,1430,0,1968,0,98023,47.3018,-122.369,1050,7700,Federal Way,WA,5570,149.6153846153846,30.564285714285713,0
130,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,Federal Way,WA,6070,174.23076923076923,30.73270013568521,0
131,100600860,2015-03-24,237500.0,3,1.75,1050,7854,1.0,0,0,4,7,1050,0,1975,0,98023,47.3011,-122.369,1360,7668,Federal Way,WA,6804,226.1904761904762,30.23936847466259,0
132,103000116,2014-07-22,645000.0,3,1.75,2070,5500,1.0,0,0,4,7,1130,940,1946,0,98115,47.6733,-122.301,1800,4400,Seattle,WA,3430,311.59420289855075,117.27272727272727,0
133,103400160,2014-05-15,263000.0,3,2.25,1590,7748,2.0,0,0,4,7,1590,0,1991,0,98003,47.2857,-122.3,1590,7606,Federal Way,WA,6158,165.40880503144655,33.9442436757873,0
134,104500730,2015-02-24,115000.0,3,1.75,1080,7942,1.0,0,0,3,7,1080,0,1981,0,98023,47.3141,-122.355,1380,8244,Federal Way,WA,6862,106.48148148148148,14.479979853941073,0
135,104501040,2014-10-03,249900.0,4,2.0,1500,7854,1.5,0,0,3,7,1500,0,1983,0,98023,47.3127,-122.354,1500,7334,Federal Way,WA,6354,166.6,31.818181818181817,0
136,104510180,2015-02-11,230000.0,3,2.25,1500,7210,1.0,0,0,3,7,1150,350,1984,0,98023,47.3124,-122.352,1500,7210,Federal Way,WA,5710,153.33333333333334,31.9001386962552,0
137,104510230,2014-11-19,252000.0,3,2.0,1540,7210,2.0,0,0,4,7,1540,0,1984,0,98023,47.3128,-122.351,1500,7210,Federal Way,WA,5670,163.63636363636363,34.95145631067961,0
